iter	Passed	Remaining
1115	41546	330730
1116	41581	330679
1117	41618	330640
1118	41653	330587
1119	41689	330537
1120	41725	330493
1121	41761	330447
1122	41796	330389
1123	41832	330340
1124	41869	330305
1125	41907	330268
1126	41941	330210
1127	41976	330154
1128	42013	330115
1129	42047	330056
1130	42081	329992
1131	42118	329950
1132	42154	329904
1133	42190	329857
1134	42226	329813
1135	42263	329770
1136	42298	329722
1137	42333	329662
1138	42369	329618
1139	42405	329572
1140	42446	329565
1141	42483	329523
1142	42518	329473
1143	42554	329428
1144	42589	329372
1145	42626	329333
1146	42660	329272
1147	42696	329225
1148	42734	329190
1149	42771	329157
1150	42807	329107
1151	42842	329052
1152	42878	329011
1153	42915	328965
1154	42952	328931
1155	42988	328886
1156	43023	328831
1157	43059	328783
1158	43094	328731
1159	43128	328669
1160	43163	328618
1161	43200	328574
1162	43237	328534
1163	43273	328495
1164	43312	328465
1165	43349	328433
1166	43385	328384
1167	43420	328332
1168	43455	328279
1169	43492	328234
1170	43527	328183
1171	43564	328146
1172	43597	328076
1173	43634	328039
1174	43657	327893
1175	43689	327820
1176	43725	327771
1177	43759	327714
1178	43795	327670
1179	43831	327619
1180	43866	327566
1181	43902	327525
1182	43937	327472
1183	43974	327431
1184	44012	327403
1185	44050	327367
1186	44084	327309
1187	44121	327269
1188	44157	327227
1189	44194	327185
1190	44228	327129
1191	44263	327077
1192	44299	327026
1193	44335	326982
1194	44370	326933
1195	44405	326879
1196	44441	326829
1197	44476	326778
1198	44515	326753
1199	44551	326709
1200	44587	326664
1201	44622	326614
1202	44659	326573
1203	44694	326524
1204	44730	326478
1205	44768	326443
1206	44796	326341
1207	44834	326309
1208	44869	326256
1209	44903	326200
1210	44940	326162
1211	44974	326099
1212	45008	326043
1213	45044	325999
1214	45080	325953
1215	45116	325908
1216	45153	325867
1217	45187	325812
1218	45224	325769
1219	45260	325726
1220	45296	325681
1221	45333	325647
1222	45369	325600
1223	45404	325549
1224	45440	325502
1225	45476	325457
1226	45511	325407
1227	45547	325363
1228	45581	325301
1229	45618	325262
1230	45654	325218
1231	45687	325155
1232	45722	325099
1233	45758	325053
1234	45794	325009
1235	45828	324953
1236	45865	324917
1237	45902	324876
1238	45939	324835
1239	45973	324779
1240	46009	324737
1241	46049	324716
1242	46085	324674
